商品名,规格,物料号,天猫是否上架,天猫平台ID
钨针夹套(TTW3000/4000A),钨针夹套2.4  L=10.3 TTW3000/4000A,42.0001.0694,否,
钨针夹套(TTW3000/4000A),钨针夹套3.2  L=10.3 TTW3000/4000A,42.0001.0695,否,
钨针夹套(TTW3000/4000A),钨针夹套4.0  L=10.3 TTW3000/4000A,42.0001.0696,否,
气塞（TT3000P）,气筛 1.0(TT3000P) L=23,42.0001.1343,否,
气塞（TT3000P）,气筛1.6(TT3000P) L=23,42.0001.1344,否,
气塞（TT3000P）,气筛2.4(TT3000P) L=23,42.0001.1345,否,
气塞（TT3000P）,气筛3.2(TT3000P) L=23,42.0001.1346,否,
气塞（TTW4000P）,气筛1.6(TT4000P)  L=50,44.0350.1362,否,
气塞（TTW4000P）,气筛2.4(TT4000P)  L=50,44.0350.1363,否,
气塞（TTW4000P）,气筛3.2(TT4000P)  L=50,44.0350.1364,否,
气塞（TTW4000P）,气筛4.0(TT4000P)  L=50,44.0350.1365,否,
大气塞（TTW3000P）,大气筛 1.0(TT3000P) L=40,42.0001.3010,否,
大气塞（TTW3000P）,大气筛1.6(TT3000P) L=40,42.0001.3011,否,
大气塞（TTW3000P）,大气筛2.4(TT3000P) L=40,42.0001.3012,否,
大气塞（TTW3000P）,大气筛3.2(TT3000P) L=40,42.0001.3013,否,
大气塞（TTW4000P）,大气筛 1.0(TT4000P) L=50,42.0001.3027,否,
大气塞（TTW4000P）,大气筛1.6(TT4000P) L=50,42.0001.3028,否,
大气塞（TTW4000P）,大气筛2.4(TT4000P) L=50,42.0001.3029,否,
大气塞（TTW4000P）,大气筛3.2(TT4000P) L=50,42.0001.3030,否,
大气塞（TTW4000P）,大气筛4.0(TT4000P) L=50,42.0001.3031,否,
气塞（TTW4500),标准气筛(TTW4500),44.0350.2443,否,
气塞（TTW4500),大气筛(TTW4500),44.0350.2529,否,
等离子咀（PTW1500）,等离子咀（PTW1500）Φ1.0/24 ,42.0001.3687,否,
等离子咀（PTW1500）,等离子咀（PTW1500）Φ1.5/24 ,42.0001.5713,否,
等离子咀（PTW1500）,等离子咀（PTW1500）Φ2.0/24,42.0001.5714,否,
等离子咀（PTW1500）,等离子咀（PTW1500）Φ2.0/29 ,42.0001.3686,否,
等离子咀（PTW1500）,等离子咀（PTW1500）Φ2.5/24 ,42.0001.5624,否,
等离子咀（PTW1500）,等离子咀（PTW1500）Φ3.0/24,42.0001.5715,否,
瓦咀(TTW3000A),瓦咀φ6.4(TT3000A) L=33,42.0300.0820,否,
瓦咀(TTW3000A),瓦咀φ8.0(TT3000A) L=33,42.0300.0821,否,
瓦咀(TTW3000A),瓦咀φ9.5(TT3000A) L=33,42.0300.0822,否,
瓦咀(TTW3000A),瓦咀φ11(TT3000A) L=33,42.0300.0823,否,
瓦咀(TTW4000A),瓦咀φ8.0(TT4000A) L=44,42.0300.0461,否,
瓦咀(TTW4000A),瓦咀φ9.5(TT4000A) L=44,42.0300.0462,否,
瓦咀(TTW4000A),瓦咀φ11(TT4000A) L=44,42.0300.0463,否,
瓦咀(TTW4000A),瓦咀φ13(TT4000A) L=44,42.0300.0464,否,
瓦咀(TTW4000A),瓦咀φ14(TT4000A) L=44,42.0300.0465,否,
瓦咀(TTW4000A),瓦咀φ16(TT4000A) L=44,42.0300.0466,否,
瓦咀(TTW4000A),瓦咀φ6.4(TT4000A) L=44,42.0300.0672,否,
瓦咀(TTW4000A),加长瓦咀φ6.4(TT4000A) L=63,42.0300.1120,否,
瓦咀(TTW4000A),加长瓦咀φ8.0(TT4000A) L=63,42.0300.1121,否,
瓦咀(TTW4000A),加长瓦咀φ9.5(TT4000A) L=63,42.0300.1122,否,
瓦咀(TTW4000A),加长瓦咀φ11(TT4000A) L=63,42.0300.1123,否,
瓦咀（TT3000P）,瓦咀(TTW3000P) Φ6.5 L=30,42.0300.0105,否,
瓦咀（TT3000P）,瓦咀(TTW3000P) Φ8.0 L=30,42.0300.0106,否,
瓦咀（TT3000P）,瓦咀(TTW3000P) Φ9.5 L=30,42.0300.0107,否,
瓦咀（TT3000P）,瓦咀(TTW3000P) Φ11.2 L=30,42.0300.0108,否,
瓦咀（TT3000P）,瓦咀(TTW3000P) Φ12.7 L=30,42.0300.0109,否,
瓦咀（TT3000P）,瓦咀(TTW3000P) Φ16 L=30,42.0300.0110,否,
瓦咀（TT4000P）,瓦咀（TTW4000P）Φ6.5 L=50,42.0300.2276,否,
瓦咀（TT4000P）,瓦咀（TTW4000P）Φ8   L=50,42.0300.2277,否,
瓦咀（TT4000P）,瓦咀（TTW4000P）Φ9.5  L=50,42.0300.2278,否,
瓦咀（TT4000P）,瓦咀（TTW4000P）Φ11   L=50,42.0300.2279,否,
瓦咀（TT4000P）,瓦咀（TTW4000P）Φ12.5  L=50,42.0300.2280,否,
瓦咀（TT4000P）,瓦咀（TTW4000P）Φ16  L=50,42.0300.2281,否,
瓦咀（TT4000P）,瓦咀（TTW4000P）Φ19.5  L=50,42.0300.2282,否,
瓦咀（TT4000P）,加长瓦咀（TTW4000P）Φ8  L=76,42.0300.2283,否,
瓦咀（TT4000P）,加长瓦咀（TTW4000P）Φ9.5  L=76,42.0300.2284,否,
瓦咀（TT4000P）,加长瓦咀（TTW4000P）Φ11 L=76,42.0300.2285,否,
瓦咀（TT4000P）,加长瓦咀（TTW4000P）Φ12.5 L=76,fronius无对应号,否,
气塞用瓦咀（TT3000P）,标准气筛瓦咀（TT3000P）Φ6.5  L=25.5,42.0300.0982,否,
气塞用瓦咀（TT3000P）,标准气筛瓦咀（TT3000P）Φ8  L=25.5,42.0300.0983,否,
气塞用瓦咀（TT3000P）,标准气筛瓦咀（TT3000P）Φ9.5  L=25.5,42.0300.0984,否,
气塞用瓦咀（TT3000P）,标准气筛瓦咀（TT3000P）Φ11  L=25.5,42.0300.2007,否,
气塞用瓦咀（TT3000P）,标准气筛瓦咀（TT3000P）Φ12.5  L=25.5,42.0300.2008,否,
气塞用瓦咀（TT4000P）,标准气筛瓦咀(TT4000P) Φ6.5 L=42,42.0300.2009,否,
气塞用瓦咀（TT4000P）,标准气筛瓦咀(TT4000P) Φ8 L=42,42.0300.2010,否,
气塞用瓦咀（TT4000P）,标准气筛瓦咀(TT4000P) Φ9.5 L=42,42.0300.2011,否,
气塞用瓦咀（TT4000P）,标准气筛瓦咀(TT4000P) Φ11 L=42,42.0300.2012,否,
气塞用瓦咀（TT4000P）,标准气筛瓦咀(TT4000P) Φ12.5 L=42,42.0300.2013,否,
气塞用瓦咀（TT4000P）,标准气筛瓦咀(TT4000P) Φ19 L=42,42.0300.2304,否,
气塞用瓦咀（TT4000P）,标准气筛加长瓦咀(TT4000P) Φ6.5 L=76,fronius无对应号,否,
气塞用瓦咀（TT4000P）,标准气筛加长瓦咀(TT4000P) Φ8 L=76,42.0300.2273,否,
气塞用瓦咀（TT4000P）,标准气筛加长瓦咀(TT4000P) Φ9.5 L=76,42.0300.2274,否,
气塞用瓦咀（TT4000P）,标准气筛加长瓦咀(TT4000P) Φ11 L=76,42.0300.2275,否,
气塞用瓦咀（TT4000P）,标准气筛加长瓦咀(TT4000P) Φ12.5 L=76,fronius无对应号,否,
大气塞用瓦咀（3000/4000P）,大气筛瓦咀  Φ9.5 L=48 (TT3000P/4000P),42.0300.2247,否,
大气塞用瓦咀（3000/4000P）,大气筛瓦咀  Φ12.5 L=48 (TT3000P/4000P),42.0300.2248,否,
大气塞用瓦咀（3000/4000P）,大气筛瓦咀  Φ16 L=48 (TT3000P/4000P),42.0300.2249,否,
大气塞用瓦咀（3000/4000P）,大气筛瓦咀 Φ19 L=48 (TT3000P/4000P),42.0300.2250,否,
瓦咀(TTW4500/PTW1500 Plasma),瓦咀 φ12(TTW4500),42.0300.2650,否,
瓦咀(TTW4500/PTW1500 Plasma),瓦咀 φ14(TTW4500),42.0300.2754,否,
陶瓷定心石(PTW1500plasma),陶瓷定心石(PTW1500plasma) Φ1.6 D5x20 ,42.0300.2688,否,
陶瓷定心石(PTW1500plasma),陶瓷定心石(PTW1500plasma) Φ2.5 D5x20 ,42.0300.2649,否,
陶瓷定心石(PTW1500plasma),陶瓷定心石(PTW1500plasma) Φ3.2 D5x20 ,42.0300.2689,否,
钢导丝管(手工枪）,钢导丝管(AW5000)0.8/3.5m ,42.0404.0188,否,
钢导丝管(手工枪）,钢导丝管(AW5000) 0.8/4.5m ,42.0404.0189,否,
钢导丝管(手工枪）,钢导丝管(AW5000)1.0/3.5m,42.0404.0244,否,
钢导丝管(手工枪）,钢导丝管(AW5000)1.0/4.5m ,42.0404.0245,否,
钢导丝管(手工枪）,钢导丝管(AW5000)1.2/3.5m,42.0404.0174,否,
钢导丝管(手工枪）,钢导丝管(AW5000)1.2/4.5m ,42.0404.0181,否,
钢导丝管(手工枪）,钢导丝管(AW5000)1.6/3.5m ,42.0404.0184,否,
钢导丝管(手工枪）,钢导丝管(AW5000)1.6/4.5m ,42.0404.0185,否,
钢导丝管(手工枪）,钢导丝管(推－拉丝枪)0.6-1.6/6m ,42.0404.0159,否,
钢导丝管(手工枪）,钢导丝管(推－拉丝枪)0.6-1.6/8m ,42.0404.0160,否,
钢导丝管(手工枪）,钢导丝管(推－拉丝枪)0.6-1.6/10m ,42.0404.0161,否,
不锈钢导丝管(手工枪）,不锈钢导丝管（AW5000）0.8/3.5,42.0404.0414,否,
不锈钢导丝管(手工枪）,不锈钢导丝管（AW5000）0.8/4.5,42.0404.0415,否,
不锈钢导丝管(手工枪）,不锈钢导丝管（AW5000）1.0/3.5,42.0404.0410,否,
不锈钢导丝管(手工枪）,不锈钢导丝管（AW5000）1.0/4.5,42.0404.0411,否,
不锈钢导丝管(手工枪）,不锈钢导丝管（AW5000）1.2/3.5,42.0404.0418,否,
不锈钢导丝管(手工枪）,不锈钢导丝管（AW5000）1.2/4.5,42.0404.0419,否,
不锈钢导丝管(手工枪）,不锈钢导丝管（AW5000）1.6/3.5,42.0404.0422,否,
不锈钢导丝管(手工枪）,不锈钢导丝管（AW5000）1.6/4.5,42.0404.0423,否,
石墨导丝管(手工枪）,石墨导丝管（AW5000）1.0/1.5m ,44.0350.1607,否,
石墨导丝管(手工枪）,石墨导丝管（AW5000）1.0/2.5m ,44.0350.1608,否,
石墨导丝管(手工枪）,石墨导丝管（AW5000）1.0/3.5m ,44.0350.1609,否,
石墨导丝管(手工枪）,石墨导丝管（AW5000）1.0/4.5m ,44.0350.1650,否,
石墨导丝管(手工枪）,石墨导丝管（AW5000）1.2/1.5m ,44.0350.1604,否,
石墨导丝管(手工枪）,石墨导丝管（AW5000）1.2/2.5m ,44.0350.1605,否,
石墨导丝管(手工枪）,石墨导丝管（AW5000）1.2/3.5m ,44.0350.1606,否,
石墨导丝管(手工枪）,石墨导丝管（AW5000）1.2/4.5m ,44.0350.1651,否,
石墨导丝管(手工枪）,石墨导丝管（AW5000）1.6/1.5m ,44.0350.1610,否,
石墨导丝管(手工枪）,石墨导丝管（AW5000）1.6/2.5m ,44.0350.1611,否,
石墨导丝管(手工枪）,石墨导丝管（AW5000）1.6/3.5m ,44.0350.1612,否,
石墨导丝管(手工枪）,石墨导丝管（AW5000）1.6/4.5m ,44.0350.1665,否,
石墨导丝管(手工枪）,石墨导丝管（推－拉丝枪）0.6-1.6/6m ,42.0300.0343,否,
石墨导丝管(手工枪）,石墨导丝管（推－拉丝枪）0.6-1.6/8m ,42.0300.0344,否,
石墨导丝管(手工枪）,石墨导丝管（推－拉丝枪）0.6-1.6/10m ,42.0300.0345,否,
Teflon导丝管(手工枪）,Teflon导丝管 1.0/3.5m,44.0350.2171,否,
Teflon导丝管(手工枪）,Teflon导丝管 1.2/3.5m ,44.0350.0983,否,
Teflon导丝管(手工枪）,Teflon导丝管 1.6/3.5m ,44.0350.1451,否,
Teflon导丝管(手工枪）,Teflon导丝管 2.0-2.4/3.5m ,44.0350.1452,否,
CMT缓冲器内导丝管,缓冲器内导丝管0.8-1.4 ,44.0350.2444,否,
CMT缓冲器内导丝管,缓冲器内导丝管1.6-2.4 ,42.0404.1012,否,
枪头内导丝管,枪头内导丝管 G/B 0.6-1.0 L=0.42m ,44.0350.2397,否,
枪头内导丝管,枪头内导丝管 G/B 1.2 L=0.42m ,44.0350.1788,否,
枪头内导丝管,枪头内导丝管 G/B 2.5x1 L=0.42m ,44.0350.1798,否,
枪头内导丝管,枪头内导丝管 G/B 0.8-1.0 L=0.42m,44.0350.2396,否,
枪头内导丝管,枪头内导丝管 G/B 1.2 L=0.55m,44.0350.1797,否,
枪头内导丝管,枪头内导丝管 G/B 1.6 L=0.55m,44.0350.1807,否,
枪头内导丝管,枪头内导丝管 G 2x1.25 L=0.47m ,44.0350.1806,否,
枪头内导丝管,枪头内导丝管 G 2.5 L=0.47m,44.0350.1838,否,
枪头内导丝管,枪头内导丝管（铜）0.8-1.2/0.32m ,42.0404.0178,否,
枪头内导丝管,枪头内导丝管（teflon） HQ 2.5x1/0.25m,44.0350.2336,否,
枪头内导丝管,枪头内导丝管(laser) LH 0.6-1.0/2m,44.0350.2259,否,
枪头内导丝管,枪头内导丝管 (laser)LH 1.2-1.6/2m,44.0350.2260,否,
钢弹簧管（卷）,钢弹簧管 50m/卷  0.8 ,40.0002.0016,否,
钢弹簧管（卷）,钢弹簧管 50m/卷  1.0 ,40.0002.0021,否,
钢弹簧管（卷）,钢弹簧管 50m/卷  1.2 ,40.0002.0002,否,
钢弹簧管（卷）,钢弹簧管 50m/卷  1.6 ,40.0002.0004,否,
不锈钢弹簧管(卷）,不锈钢弹簧管 50m/卷 0.8 ,40.0002.0031,否,
不锈钢弹簧管(卷）,不锈钢弹簧管 50m/卷 1.0 ,40.0002.0032,否,
不锈钢弹簧管(卷）,不锈钢弹簧管 50m/卷 1.2 ,40.0002.0033,否,
不锈钢弹簧管(卷）,不锈钢弹簧管 50m/卷 1.6 ,40.0002.0034,否,
铜弹簧管(卷),铜制弹簧管50m/卷0.6-1.0 coil length 12 m,40.0002.0029,否,
铜弹簧管(卷),铜制弹簧管50m/卷1.2 coil length 26m,40.0002.0015,否,
铜弹簧管(卷),铜制弹簧管50m/卷1.6 coil length 30m ,40.0002.0017,否,
石墨导丝管（卷）,石墨导丝管 50m/卷 1.2 ,40.0001.0074,否,
石墨导丝管（卷）,石墨导丝管 50m/卷 1.6 ,40.0001.0054,否,
石墨导丝管（卷）,石墨导丝管 50m/卷 2.0-2.4 ,40.0001.0055,否,
Teflon Q导丝管(卷),HQ Teflon导丝管 50m/卷 0.6-1.0 ,40.0001.0414,否,
Teflon Q导丝管(卷),HQ Teflon导丝管 50m/卷 1.2 ,40.0001.0415,否,
Teflon Q导丝管(卷),HQ Teflon导丝管 50m/卷 1.6 ,40.0001.0416,否,
Teflon Q导丝管(卷),HQ Teflon导丝管 50m/卷 2.0-2.4 ,40.0001.0036,否,
Teflon Q导丝管(卷),TEFLON 送丝管（红色）,Binz125.0006,否,
Teflon Q导丝管(卷),TEFLON送丝管（黄色）,BINZ125.0017,否,
送丝内管固定夹,导丝内管固定夹 AD3.7-3.9 ,42.0001.3563,否,
送丝内管固定夹,导丝内管固定夹  AD4.1-4.3 ,42.0001.5833,否,
送丝内管固定夹,导丝内管固定夹 AD4.3-4.6 ,42.0001.5412,否,
送丝内管固定夹,导丝内管锁紧螺母4.9 /SW10x19 ,42.0400.1025,否,
送丝内管固定夹,导丝内管锁紧螺母（配塑料咀）,42.0400.1024,否,
塑料导向咀,塑料导向咀 D0.8 ,42.0100.1120,否,
塑料导向咀,塑料导向咀 D1.0 ,42.0100.1119,否,
塑料导向咀,塑料导向咀 D1.2 ,42.0100.1003,否,
塑料导向咀,塑料导向咀 D1.6 ,42.0100.1008,否,
塑料导向咀,塑料导向咀 D2.0-2.4 ,42.0100.1078,否,
枪尾送丝导向咀,枪尾送丝导向咀（手工焊钢） 0.8,42.0001.0916,否,
枪尾送丝导向咀,枪尾送丝导向咀（手工焊钢） 1.0,42.0001.1743,否,
枪尾送丝导向咀,枪尾送丝导向咀（手工焊钢） 1.2,42.0001.1508,否,
枪尾送丝导向咀,枪尾送丝导向咀（手工焊钢） 1.6,44.0350.0084,否,
枪尾送丝导向咀,枪尾送丝导向咀（手工焊钢） 2.4 ,42.0001.0422,否,
枪尾送丝导向咀,枪尾送丝导向咀（手工焊钢） 2.8 ,42.0001.0637,否,
枪尾送丝导向咀,枪尾送丝导向咀件1.6 (焊铝）,42.0001.0397－1.6,否,
枪尾送丝导向咀,枪尾送丝导向咀0.8-1.2 (焊铝）,42.0001.0397－1.2,否,
外送丝套管(Driver）,RA Driver  E 外送丝套管1.5m ,44.0350.2377,否,
外送丝套管(Driver）,RA Driver  E 外送丝套管1.75m,44.0350.2233,否,
外送丝套管(Driver）,RA Driver  E 外送丝套管2.5m,44.0350.2234,否,
外送丝套管(Driver）,RA Driver  E 外送丝套管3.5m,44.0350.2235,否,
外送丝套管(Driver）,RA Driver  E 外送丝套管4.25m ,44.0350.2236,否,
外送丝套管(Driver）,RA Driver  E 外送丝套管6.25m ,44.0350.2257,否,
外送丝套管(Driver）,RA Driver  E 外送丝套管8.25m,44.0350.2237,否,
外送丝套管(Driver）,RA Driver F++外送丝套管1.5m ,34.0350.2135,否,
外送丝套管(Driver）,RA Driver F++外送丝套管1.75m,44.0350.2376,否,
外送丝套管(Driver）,RA Driver F++外送丝套管2.5m,34.0350.2136,否,
外送丝套管(Driver）,RA Driver F++外送丝套管3.5m,34.0350.2137,否,
外送丝套管(Driver）,RA Driver F++外送丝套管4.25m ,34.0350.2239,否,
外送丝套管(Driver）,RA Driver F++外送丝套管6.25m ,44.0350.2256,否,
外送丝套管(Driver）,RA Driver F++外送丝套管8.25m,34.0350.2138,否,
外送丝套管(CMT）,CMT外送丝套管(马达端)BR1.2m ,44.0350.2370,否,
外送丝套管(CMT）,CMT外送丝套管(马达端) BR 1.6m ,44.0350.2503,否,
外送丝套管(CMT）,CMT外送丝套管(送丝机端)VR 1.72m ,44.0350.2504,否,
外送丝套管(CMT）,CMT外送丝套管(送丝机端) VR2.12m ,44.0350.2371,否,
外送丝套管(CMT）,CMT外送丝套管(送丝机端) VR 3.72m ,44.0350.2505,否,
外送丝套管(CMT）,CMT外送丝套管(送丝机端)VR4.12m ,44.0350.2372,否,
外送丝套管(CMT）,CMT外送丝套管(送丝机端)R 5.72m ,44.0350.2506,否,
外送丝套管(CMT）,CMT外送丝套管(送丝机端)VR 6.12m,44.0350.2374,否,
外送丝套管(CMT）,CMT外送丝套管(整） var.5.32m ,44.0350.2809,否,
外送丝套管(CMT）,CMT外送丝套管(整） var.7.32m ,44.0350.2746,否,
外置送丝管接头,外置送丝管接头（接马达端）,32.0001.5415,否,
外置送丝管接头,外置送丝管接头(接送丝机端）,42.0001.5414,否,
外置送丝管接头,外置送丝管接头（CMT）,42.0001.5569,否,
外置送丝管接头,缓冲器内导丝管套头 1.6-2.4 ,42.0001.5728,否,
外置送丝管接头,缓冲器内导丝管套头 0.8-1.4 ,42.0001.5724,否,
外置送丝管接头,缓冲器导丝管固定夹,42.0001.5788,否,
外置送丝管接头,缓冲器导丝管锁紧螺母,42.0001.5787,否,
铜送丝弯管（TIG/Plasma）,铜送丝弯管（TIG/Plasma）45  L=115mm ,42.0001.5697,否,
铜送丝弯管（TIG/Plasma）,铜送丝弯管（TIG/Plasma）58  L=160mm ,42.0001.5911,否,
铜送丝弯管（TIG/Plasma）,铜送丝弯管（TIG/Plasma）0  L=170mm ,02*42.0001.5494C1,否,
铜送丝弯管（TIG/Plasma）,铜送丝弯管（TIG/Plasma）52  L=132mm ,42.0001.6113,否,
送丝咀（TIG/plasma）,送丝咀（TIG/plasma）Φ0.8 M6x16 ,42.0001.5685,否,
送丝咀（TIG/plasma）,送丝咀（TIG/plasma）Φ1.0 M6x16 ,42.0001.5686,否,
送丝咀（TIG/plasma）,送丝咀（TIG/plasma）Φ1.2 M6x16 ,42.0001.5687,否,
送丝咀（TIG/plasma）,送丝咀（TIG/plasma）Φ1.6 M6x16 ,42.0001.5599,否,
送丝咀（TIG/plasma）,送丝咀（TIG/plasma）Φ2.0 M6x16 ,42.0001.5778,否,
4维调节器,4维调节器,8.045.001,否,
4维调节器（小）,4维调节器（小）,8.045.001-C1,否,
3维调节器（小）,3维送丝调节器（小）,02*44.0350.1992,否,
送丝轮（送丝机内）,T型送丝轮 0.6 T Profi ,44.0001.3403,否,
送丝轮（送丝机内）,T型送丝轮 0.8 T Profi ,44.0001.3405,否,
送丝轮（送丝机内）,T型送丝轮 0.9 T Profi ,44.0001.1365,否,
送丝轮（送丝机内）,T型送丝轮 1.0T Profi ,44.0001.1227,否,
送丝轮（送丝机内）,T型送丝轮 1.2T Profi ,44.0001.1200,否,
送丝轮（送丝机内）,T型送丝轮 1.4T Profi ,44.0001.1353,否,
送丝轮（送丝机内）,T型送丝轮 1.6T Profi ,44.0001.1228,否,
送丝轮（送丝机内）,T型送丝轮 2.0 T Profi ,44.0001.3412,否,
送丝轮（送丝机内）,平压轮Pressure roll ,44.0001.1221,否,
送丝轮（送丝机内）,主轴驱动轮Driver roll D31.5,44.0001.1203,否,
送丝轮（送丝机内）,H型送丝轮 0.8-0.9 H Profi ,44.0001.3404,否,
送丝轮（送丝机内）,H型送丝轮 1.0H Profi ,44.0001.1184,否,
送丝轮（送丝机内）,H型送丝轮 1.2H Profi ,44.0001.1185,否,
送丝轮（送丝机内）,H型送丝轮 1.4H Profi ,44.0001.3407,否,
送丝轮（送丝机内）,H型送丝轮 1.6H Profi ,44.0001.1209,否,
送丝轮（送丝机内）,H型送丝轮 2.0 H Profi ,44.0001.3410,否,
送丝轮（送丝机内）,H型送丝轮 2.4 H Profi ,44.0001.3413,否,
送丝轮（送丝机内）,H型送丝轮 3.2 H Profi ,44.0001.3416,否,
拉丝轮(拉丝枪内）,拉丝压轮D0.8 GL ,42.0403.0141,否,
拉丝轮(拉丝枪内）,拉丝压轮D0.9 GL ,42.0403.0143,否,
拉丝轮(拉丝枪内）,拉丝压轮D1.0 GL ,42.0403.0145,否,
拉丝轮(拉丝枪内）,拉丝压轮D1.2 GL ,42.0403.0147,否,
拉丝轮(拉丝枪内）,拉丝压轮D1.4 GL ,42.0403.0149,否,
拉丝轮(拉丝枪内）,拉丝压轮D1.6 GL ,42.0403.0151,否,
拉丝轮(拉丝枪内）,拉丝主动轮D0.8 slot ,42.0403.0142,否,
拉丝轮(拉丝枪内）,拉丝主动轮D0.9 slot ,42.0403.0144,否,
拉丝轮(拉丝枪内）,拉丝主动轮D1.0 slot ,42.0403.0146,否,
拉丝轮(拉丝枪内）,拉丝主动轮D1.2 slot ,42.0403.0148,否,
拉丝轮(拉丝枪内）,拉丝主动轮D1.4 slot ,42.0403.0150,否,
拉丝轮(拉丝枪内）,拉丝主动轮D1.6 slot ,42.0403.0152,否,
拉丝轮(CMT马达）,拉丝主动轮(CMT)0.8 CMT ,42.0001.5733,否,
拉丝轮(CMT马达）,拉丝主动轮(CMT)0.9 CMT ,42.0001.5774,否,
拉丝轮(CMT马达）,拉丝主动轮(CMT)1.0 CMT ,42.0001.5734,否,
拉丝轮(CMT马达）,拉丝主动轮(CMT)1.2 CMT ,42.0001.5735,否,
拉丝轮(CMT马达）,拉丝主动轮(CMT)1.4 CMT ,42.0001.5775,否,
拉丝轮(CMT马达）,拉丝主动轮(CMT)1.6 CMT ,42.0001.5736,否,
拉丝轮(CMT马达）,拉丝从动轮(CMT) 0.8 CMT ,42.0001.5732,否,
拉丝轮(CMT马达）,拉丝从动轮(CMT) 0.9 CMT ,42.0001.5772,否,
拉丝轮(CMT马达）,拉丝从动轮(CMT) 1.0 CMT ,42.0001.5731,否,
拉丝轮(CMT马达）,拉丝从动轮(CMT) 1.2 CMT ,42.0001.5730,否,
拉丝轮(CMT马达）,拉丝从动轮(CMT) 1.4 CMT ,42.0001.5773,否,
拉丝轮(CMT马达）,拉丝从动轮(CMT) 1.6 CMT ,42.0001.5729,否,
MIG拉丝轮套件,拉丝套件（MIG）0.8 ,44.0350.2005,否,
MIG拉丝轮套件,拉丝套件（MIG）1.0 ,44.0350.2007,否,
MIG拉丝轮套件,拉丝套件（MIG）1.2 ,44.0350.2008,否,
MIG拉丝轮套件,拉丝套件（MIG）1.6 ,44.0350.2009,否,
MIG拉丝轮套件,拉丝套件（MIG）2.0 ,44.0350.2146,否,
TIG拉丝轮套件,拉丝轮套件（TIG） 0.8 ,44.0350.2139,否,
TIG拉丝轮套件,拉丝轮套件（TIG） 1.0 ,44.0350.2141,否,
TIG拉丝轮套件,拉丝轮套件（TIG） 1.2 ,44.0350.2142,否,
TIG拉丝轮套件,拉丝轮套件（TIG） 1.6 ,44.0350.2144,否,
TIG拉丝轮套件,拉丝轮套件（TIG） 2.0 ,44.0350.2145,否,
CMT拉丝轮套件,CMT拉丝轮套件 W/Al 0.8,44.0350.2381,否,
CMT拉丝轮套件,CMT拉丝轮套件 W/Al 1.0 ,44.0350.2382,否,
CMT拉丝轮套件,CMT拉丝轮套件 W/Al 1.2 ,44.0350.2383,否,
CMT拉丝轮套件,CMT拉丝轮套件 W/Al 1.6 ,44.0350.2384,否,
CMT拉丝轮套件,CMT拉丝轮套件 G/W Fe/CuSi 0.8 ,44.0350.2389,否,
CMT拉丝轮套件,CMT拉丝轮套件 G/W Fe/CuSi 0.9 ,44.0350.2401,否,
CMT拉丝轮套件,CMT拉丝轮套件 G/W Fe/CuSi 1 ,44.0350.2390,否,
CMT拉丝轮套件,CMT拉丝轮套件 G/W Fe/CuSi 1.2 ,44.0350.2391,否,
CMT拉丝轮套件,CMT拉丝轮套件 G/W CrNi 0.8 ,44.0350.2385,否,
CMT拉丝轮套件,CMT拉丝轮套件 G/W CrNi 1 ,44.0350.2386,否,
CMT拉丝轮套件,CMT拉丝轮套件 G/W CrNi 1.2 ,44.0350.2387,否,
机器人用盘丝架,ABB机器人用盘丝座,后台询机器人型号订制,否,
机器人用盘丝架,FANUC机器人用盘丝座,后台询机器人型号订制,否,
机器人用盘丝架,KUKA机器人用盘丝座,后台询机器人型号订制,否,
机器人用盘丝架,MOTOMAN机器人用盘丝座,后台询机器人型号订制,否,
机器人用盘丝架,支承盘丝座,4.100.473,否,
盘丝轴及盖,盘丝轴,34.0250.0028,否,
盘丝盖,盘丝盖,42.0300.1746,否,
桶丝管（钢）,桶丝管（钢） 1.2m ,02*44..0350.2378,否,
桶丝管（钢）,桶丝管（钢） 1.6m ,02*44..0350.0948,否,
桶丝管（钢）,桶丝管（钢） 1.8m ,02*44..0350.1790,否,
桶丝管（钢）,桶丝管（钢） 2.2m ,02*44..0350.0273,否,
桶丝管（钢）,桶丝管（钢） 3.5m ,02*44..0350.0274,否,
桶丝管（钢）,桶丝管（钢） 5.5m ,02*44..0350.5001,否,
桶丝管（钢）,桶丝管（钢） 6.35m ,02*44..0350.5003,否,
桶丝管（铝）,桶丝管（铝）1.6m ,44.0350.2000,否,
桶丝管（铝）,桶丝管（铝）2.2m ,44.0350.2611,否,
桶丝管（铝）,桶丝管（铝）3.5m ,44.0350.2393,否,
桶丝管（铝）,桶丝管（铝） 5.5m ,44.0350.2612,否,
无阻力桶丝管(滚轮式）,滚轮式无阻力桶丝管 - 5m,SS-1202.305,否,
无阻力桶丝管(滚轮式）,滚轮式无阻力桶丝管 - 10m,SS-1202.310,否,
无阻力桶丝管(滚轮式）,滚轮式无阻力桶丝管 - 15m,SS-1202.315,否,
无阻力桶丝管(滚轮式）,滚轮式无阻力桶丝管 - 20m,SS-1202.320,否,
无阻力桶丝管(滚轮式）,滚轮式无阻力桶丝管 -30m,SS-1202.330,否,
无阻力桶丝管(滚轮式）,滚轮管送丝机端接头（TPS i）,SS-1202.101-N,否,
